SYMBOL,TICKER,NAME_OF_COMPANY,SERIES,CLOSE_PRICE,PREV_CLOSE,CHANGE_PCT,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_PER,DATE_OF_LISTING,SESSION_DATE
20MICRONS,20MICRONS.NS,20 Microns Limited,EQ,208.28,205.71,1.249331583296871,45744,94.7,47.15,06-OCT-2008,20-Sep-2026
21STCENMGM,21STCENMGM.NS,21st Century Management Services Limited,EQ,38.98,38.62,0.9321595028482637,135,0.05,51.11,03-MAY-1995,20-Sep-2026
360ONE,360ONE.NS,360 ONE WAM LIMITED,EQ,1073.1,1061.3,1.1118439649486436,519067,5594.95,66.99,19-SEP-2019,20-Sep-2026
3BBLACKBIO,3BBLACKBIO.NS,3B Blackbio Dx Limited,EQ,1319.3,1290.8,2.2079330647660367,6766,87.92,72.49,20-APR-2026,20-Sep-2026
3IINFOLTD,3IINFOLTD.NS,3i Infotech Limited,BE,25.5,25.76,-1.0093167701863415,419639,107.85,0.0,22-OCT-2021,20-Sep-2026
3MINDIA,3MINDIA.NS,3M India Limited,EQ,34095.0,32530.0,4.81094374423609,8040,2706.74,52.33,13-AUG-2004,20-Sep-2026
3PLAND,3PLAND.NS,3P Land Holdings Limited,EQ,31.09,31.4,-0.9872611464968113,721,0.22,71.15,19-JUL-1995,20-Sep-2026
5PAISA,5PAISA.NS,5Paisa Capital Limited,EQ,321.35,315.4,1.8864933417882201,21347,68.25,54.65,16-NOV-2017,20-Sep-2026
63MOONS,63MOONS.NS,63 moons technologies limited,EQ,884.75,872.65,1.3865811035352114,231331,2036.73,40.9,20-JUN-2005,20-Sep-2026
A2ZINFRA,A2ZINFRA.NS,A2Z Infra Engineering Limited,EQ,14.89,15.01,-0.7994670219853379,43624,6.52,81.83,23-DEC-2010,20-Sep-2026
AAATECH,AAATECH.NS,AAA Technologies Limited,EQ,86.95,84.57,2.814236726971751,107337,92.76,17.37,28-NOV-2022,20-Sep-2026
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Limited,EQ,461.65,469.35,-1.6405667412378917,2175228,10049.29,72.43,15-MAY-2024,20-Sep-2026
AAKAAR,AAKAAR.NS,AAKAAR,SM,64.5,63.0,2.380952380952381,28800,17.93,88.89,,20-Sep-2026
AAKASH,AAKASH.NS,Aakash Exploration Services Limited,EQ,8.88,8.92,-0.44843049327353307,78109,7.02,59.65,29-SEP-2020,20-Sep-2026
AARADHYA,AARADHYA.NS,AARADHYA,ST,141.0,140.3,0.4989308624376255,21600,30.93,100.0,,20-Sep-2026
AAREYDRUGS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,EQ,102.13,101.72,0.40306724341328803,289834,295.43,66.9,06-AUG-2021,20-Sep-2026
AARNAV,AARNAV.NS,Aarnav Fashions Limited,BE,31.2,31.4,-0.6369426751592334,3120,0.97,0.0,25-FEB-2026,20-Sep-2026
AARON,AARON.NS,Aaron Industries Limited,EQ,119.92,124.42,-3.616781867866902,38147,45.48,67.29,06-NOV-2020,20-Sep-2026
AARTECH,AARTECH.NS,Aartech Solonics Limited,BE,51.33,51.4,-0.13618677042801614,17042,8.68,0.0,10-JUL-2023,20-Sep-2026
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,EQ,431.8,428.35,0.8054161316680257,88332,381.04,55.64,19-SEP-2003,20-Sep-2026
AARTIIND,AARTIIND.NS,Aarti Industries Limited,EQ,491.15,476.6,3.052874527905991,541708,2643.75,47.83,08-FEB-1995,20-Sep-2026
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ,820.4,826.95,-0.7920672350202634,1901494,15632.53,63.2,30-JAN-2023,20-Sep-2026
AARTISURF,AARTISURF.NS,Aarti Surfactants Limited,BE,535.95,525.45,1.9982871824150725,9675,52.27,0.0,14-JUL-2020,20-Sep-2026
AARVI,AARVI.NS,Aarvi Encon Limited,EQ,139.95,140.82,-0.6178099701746944,3984,5.56,67.29,24-JUN-2020,20-Sep-2026
AASTHA,AASTHA.NS,Aastha Spintex Limited,EQ,76.25,76.78,-0.6902839281062791,240248,182.18,50.09,06-JUL-2026,20-Sep-2026
AAVAS,AAVAS.NS,Aavas Financiers Limited,EQ,1284.6,1291.8,-0.5573618207152845,164549,2121.69,63.15,08-OCT-2018,20-Sep-2026
ABAN,ABAN.NS,Aban Offshore Limited,BE,14.54,14.32,1.536312849162003,11942,1.72,0.0,29-MAR-1995,20-Sep-2026
ABANSENT,ABANSENT.NS,Abans Enterprises Limited,EQ,26.07,26.61,-2.0293122886133,7320,1.94,88.01,20-APR-2026,20-Sep-2026
ABB,ABB.NS,ABB India Limited,EQ,7270.5,7130.5,1.9633966762499122,383030,27671.62,57.62,08-FEB-1995,20-Sep-2026
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,EQ,27270.0,25910.0,5.248938633732149,38339,10381.22,66.84,08-JAN-2010,20-Sep-2026
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,EQ,410.05,390.0,5.141025641025644,4888619,19711.99,62.47,01-SEP-2017,20-Sep-2026
ABCOTS,ABCOTS.NS,A B Cotspin India Limited,EQ,209.85,210.83,-0.46482948347010294,219982,473.94,61.59,24-SEP-2025,20-Sep-2026
ABDL,ABDL.NS,Allied Blenders and Distillers Limited,EQ,647.6,653.1,-0.8421374980860511,437696,2846.31,47.57,02-JUL-2024,20-Sep-2026
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ,50.16,50.45,-0.5748265609514495,3238057,1626.97,45.17,17-JUL-2013,20-Sep-2026
ABGSEC,ABGSEC.NS,ABGSEC,EQ,114.2,113.07,0.9993809144777658,8,0.01,75.0,,20-Sep-2026
ABH,ABH.NS,ABH,SM,43.75,39.8,9.924623115577898,123600,52.2,81.55,,20-Sep-2026
ABHAPOWER,ABHAPOWER.NS,ABHAPOWER,SM,24.65,23.7,4.008438818565398,6400,1.52,75.0,,20-Sep-2026
